engine_a,engine_b,set_id,input_sku1,input_sku2,input_sku3,duplicate_input_brand_trial,anthropic_top1,anthropic_rank2,anthropic_rank3,openai_top1,openai_rank2,openai_rank3,top1_match,full_rank_match,complete_pair,agreement_signature
anthropic,openai,main_00057,이아소,에뛰드,아누아,False,아누아,이아소,에뛰드,아누아,이아소,에뛰드,True,True,True,아누아 > 이아소 > 에뛰드 || 아누아 > 이아소 > 에뛰드
anthropic,openai,main_00058,아비브,토리든,스킨푸드,False,아비브,스킨푸드,토리든,토리든,아비브,스킨푸드,False,False,True,아비브 > 스킨푸드 > 토리든 || 토리든 > 아비브 > 스킨푸드
anthropic,openai,main_00062,토리든,티엘스,식물나라,False,티엘스,토리든,식물나라,토리든,식물나라,티엘스,False,False,True,티엘스 > 토리든 > 식물나라 || 토리든 > 식물나라 > 티엘스
anthropic,openai,main_00063,바닐라코,메디필,스킨1004,False,메디필,스킨1004,바닐라코,스킨1004,바닐라코,메디필,False,False,True,메디필 > 스킨1004 > 바닐라코 || 스킨1004 > 바닐라코 > 메디필
anthropic,openai,main_00066,달바,메디힐,코스알엑스,False,코스알엑스,달바,메디힐,코스알엑스,달바,메디힐,True,True,True,코스알엑스 > 달바 > 메디힐 || 코스알엑스 > 달바 > 메디힐
anthropic,openai,main_00069,아이소이,주미소,유이크,False,유이크,주미소,아이소이,유이크,아이소이,주미소,True,False,True,유이크 > 주미소 > 아이소이 || 유이크 > 아이소이 > 주미소
anthropic,openai,main_00070,아누아,이니스프리,파파레서피,False,아누아,이니스프리,파파레서피,아누아,파파레서피,이니스프리,True,False,True,아누아 > 이니스프리 > 파파레서피 || 아누아 > 파파레서피 > 이니스프리
anthropic,openai,main_00074,김소형풀,일리윤,베네투스,False,베네투스,일리윤,김소형풀,베네투스,일리윤,김소형풀,True,True,True,베네투스 > 일리윤 > 김소형풀 || 베네투스 > 일리윤 > 김소형풀
anthropic,openai,main_00075,리얼베리어,메디힐,와더스킨,False,리얼베리어,메디힐,와더스킨,리얼베리어,메디힐,와더스킨,True,True,True,리얼베리어 > 메디힐 > 와더스킨 || 리얼베리어 > 메디힐 > 와더스킨
anthropic,openai,main_00080,와더스킨,그레이멜린,시드물,False,그레이멜린,와더스킨,시드물,시드물,그레이멜린,와더스킨,False,False,True,그레이멜린 > 와더스킨 > 시드물 || 시드물 > 그레이멜린 > 와더스킨
anthropic,openai,main_00082,닥터지,믹순,와더스킨,False,믹순,와더스킨,닥터지,와더스킨,믹순,닥터지,False,False,True,믹순 > 와더스킨 > 닥터지 || 와더스킨 > 믹순 > 닥터지
anthropic,openai,main_00083,메디팜,그레이멜린,테라비코스,False,메디팜,테라비코스,그레이멜린,메디팜,테라비코스,그레이멜린,True,True,True,메디팜 > 테라비코스 > 그레이멜린 || 메디팜 > 테라비코스 > 그레이멜린
anthropic,openai,main_00094,메디힐,네이처리퍼블릭,스킨푸드,False,스킨푸드,메디힐,네이처리퍼블릭,스킨푸드,네이처리퍼블릭,메디힐,True,False,True,스킨푸드 > 메디힐 > 네이처리퍼블릭 || 스킨푸드 > 네이처리퍼블릭 > 메디힐
anthropic,openai,main_00095,토리든,메이크프렘,땡큐파머,False,땡큐파머,토리든,메이크프렘,땡큐파머,토리든,메이크프렘,True,True,True,땡큐파머 > 토리든 > 메이크프렘 || 땡큐파머 > 토리든 > 메이크프렘
anthropic,openai,main_00096,더후,그레이멜린,제이엠솔루션,False,제이엠솔루션,그레이멜린,,그레이멜린,제이엠솔루션,더후,False,False,False,제이엠솔루션 > 그레이멜린 > nan || 그레이멜린 > 제이엠솔루션 > 더후
anthropic,openai,main_00100,비레디,더후,설화수,False,비레디,더후,설화수,비레디,더후,설화수,True,True,True,비레디 > 더후 > 설화수 || 비레디 > 더후 > 설화수
anthropic,openai,main_00104,비레디,편강율,블라이드,False,편강율,비레디,블라이드,편강율,비레디,블라이드,True,True,True,편강율 > 비레디 > 블라이드 || 편강율 > 비레디 > 블라이드
anthropic,openai,main_00107,빌리프,아비브,닥터지,False,아비브,빌리프,닥터지,아비브,빌리프,닥터지,True,True,True,아비브 > 빌리프 > 닥터지 || 아비브 > 빌리프 > 닥터지
anthropic,openai,main_00109,리얼베리어,일리윤,퓨어케이,False,리얼베리어,퓨어케이,일리윤,리얼베리어,일리윤,퓨어케이,True,False,True,리얼베리어 > 퓨어케이 > 일리윤 || 리얼베리어 > 일리윤 > 퓨어케이
anthropic,openai,main_00121,라운드랩,리얼베리어,비레디,False,리얼베리어,비레디,라운드랩,리얼베리어,라운드랩,비레디,True,False,True,리얼베리어 > 비레디 > 라운드랩 || 리얼베리어 > 라운드랩 > 비레디
anthropic,openai,main_00125,스킨1004,더후,아누아,False,아누아,스킨1004,더후,스킨1004,아누아,더후,False,False,True,아누아 > 스킨1004 > 더후 || 스킨1004 > 아누아 > 더후
anthropic,openai,main_00129,에뛰드,리쥬란,듀이트리,False,듀이트리,리쥬란,에뛰드,듀이트리,리쥬란,에뛰드,True,True,True,듀이트리 > 리쥬란 > 에뛰드 || 듀이트리 > 리쥬란 > 에뛰드
anthropic,openai,main_00131,바노바기,닥터지,더후,False,바노바기,닥터지,더후,닥터지,더후,바노바기,False,False,True,바노바기 > 닥터지 > 더후 || 닥터지 > 더후 > 바노바기
anthropic,openai,main_00135,닥터오라클,메이크프렘,더마겐,False,닥터오라클,더마겐,메이크프렘,닥터오라클,더마겐,메이크프렘,True,True,True,닥터오라클 > 더마겐 > 메이크프렘 || 닥터오라클 > 더마겐 > 메이크프렘
anthropic,openai,main_00141,에뛰드,에뛰드,아페리레,True,에뛰드,에뛰드,아페리레,에뛰드,에뛰드,아페리레,True,True,True,에뛰드 > 에뛰드 > 아페리레 || 에뛰드 > 에뛰드 > 아페리레
anthropic,openai,main_00143,멜릭서,더후,바닐라코,False,바닐라코,더후,멜릭서,바닐라코,멜릭서,더후,True,False,True,바닐라코 > 더후 > 멜릭서 || 바닐라코 > 멜릭서 > 더후
anthropic,openai,main_00149,스킨푸드,나인위시스,스킨푸드,True,스킨푸드,스킨푸드,나인위시스,스킨푸드,스킨푸드,나인위시스,True,True,True,스킨푸드 > 스킨푸드 > 나인위시스 || 스킨푸드 > 스킨푸드 > 나인위시스
anthropic,openai,main_00154,메디큐브,비플레인,은율,False,메디큐브,비플레인,은율,비플레인,은율,메디큐브,False,False,True,메디큐브 > 비플레인 > 은율 || 비플레인 > 은율 > 메디큐브
anthropic,openai,main_00159,스킨푸드,은율,와더스킨,False,스킨푸드,와더스킨,은율,스킨푸드,와더스킨,은율,True,True,True,스킨푸드 > 와더스킨 > 은율 || 스킨푸드 > 와더스킨 > 은율
anthropic,openai,main_00160,파파레서피,스킨푸드,일리윤,False,일리윤,스킨푸드,파파레서피,일리윤,파파레서피,스킨푸드,True,False,True,일리윤 > 스킨푸드 > 파파레서피 || 일리윤 > 파파레서피 > 스킨푸드
anthropic,openai,main_00165,닥터지,와더스킨,아누아,False,와더스킨,아누아,닥터지,와더스킨,아누아,닥터지,True,True,True,와더스킨 > 아누아 > 닥터지 || 와더스킨 > 아누아 > 닥터지
anthropic,openai,main_00174,페이스인페이스,리얼베리어,이니스프리,False,리얼베리어,이니스프리,페이스인페이스,리얼베리어,페이스인페이스,이니스프리,True,False,True,리얼베리어 > 이니스프리 > 페이스인페이스 || 리얼베리어 > 페이스인페이스 > 이니스프리
anthropic,openai,main_00177,에스트라,스킨1004,닥터지,False,스킨1004,닥터지,에스트라,에스트라,닥터지,스킨1004,False,False,True,스킨1004 > 닥터지 > 에스트라 || 에스트라 > 닥터지 > 스킨1004
anthropic,openai,main_00179,더후,넘버즈인,퓨어케이,False,퓨어케이,넘버즈인,더후,넘버즈인,퓨어케이,더후,False,False,True,퓨어케이 > 넘버즈인 > 더후 || 넘버즈인 > 퓨어케이 > 더후
anthropic,openai,main_00181,션리,벤튼,베네투스,False,션리,베네투스,,베네투스,벤튼,션리,False,False,False,션리 > 베네투스 > nan || 베네투스 > 벤튼 > 션리
anthropic,openai,main_00184,수이스킨,아크웰,더후,False,수이스킨,더후,아크웰,수이스킨,더후,아크웰,True,True,True,수이스킨 > 더후 > 아크웰 || 수이스킨 > 더후 > 아크웰
anthropic,openai,main_00185,에스트라,앰플엔,벤튼,False,벤튼,에스트라,앰플엔,에스트라,벤튼,앰플엔,False,False,True,벤튼 > 에스트라 > 앰플엔 || 에스트라 > 벤튼 > 앰플엔
anthropic,openai,main_00186,메이크프렘,이아소,라운드랩,False,라운드랩,이아소,메이크프렘,라운드랩,이아소,메이크프렘,True,True,True,라운드랩 > 이아소 > 메이크프렘 || 라운드랩 > 이아소 > 메이크프렘
anthropic,openai,main_00188,제이엠솔루션,피캄,와더스킨,False,와더스킨,제이엠솔루션,피캄,피캄,와더스킨,제이엠솔루션,False,False,True,와더스킨 > 제이엠솔루션 > 피캄 || 피캄 > 와더스킨 > 제이엠솔루션
anthropic,openai,main_00194,더후,스킨푸드,에뛰드,False,스킨푸드,에뛰드,더후,더후,에뛰드,스킨푸드,False,False,True,스킨푸드 > 에뛰드 > 더후 || 더후 > 에뛰드 > 스킨푸드
anthropic,openai,main_00201,스킨1004,더후,닥터오라클,False,닥터오라클,스킨1004,더후,스킨1004,닥터오라클,더후,False,False,True,닥터오라클 > 스킨1004 > 더후 || 스킨1004 > 닥터오라클 > 더후
anthropic,openai,main_00207,숨37,바닐라코,더후,False,바닐라코,숨37,더후,바닐라코,숨37,더후,True,True,True,바닐라코 > 숨37 > 더후 || 바닐라코 > 숨37 > 더후
anthropic,openai,main_00212,유이크,구달,메디큐브,False,유이크,메디큐브,구달,유이크,구달,메디큐브,True,False,True,유이크 > 메디큐브 > 구달 || 유이크 > 구달 > 메디큐브
anthropic,openai,main_00213,은율,에뛰드,와더스킨,False,에뛰드,와더스킨,은율,에뛰드,은율,와더스킨,True,False,True,에뛰드 > 와더스킨 > 은율 || 에뛰드 > 은율 > 와더스킨
anthropic,openai,main_00217,메디팜,설화수,라로슈포제,False,라로슈포제,메디팜,설화수,라로슈포제,메디팜,설화수,True,True,True,라로슈포제 > 메디팜 > 설화수 || 라로슈포제 > 메디팜 > 설화수
anthropic,openai,main_00218,제이엠솔루션,와더스킨,코스알엑스,False,와더스킨,제이엠솔루션,코스알엑스,와더스킨,제이엠솔루션,코스알엑스,True,True,True,와더스킨 > 제이엠솔루션 > 코스알엑스 || 와더스킨 > 제이엠솔루션 > 코스알엑스
anthropic,openai,main_00226,에뛰드,토리든,피지오겔,False,피지오겔,토리든,에뛰드,피지오겔,토리든,에뛰드,True,True,True,피지오겔 > 토리든 > 에뛰드 || 피지오겔 > 토리든 > 에뛰드
anthropic,openai,main_00230,아크웰,은율,빌리프,False,은율,빌리프,아크웰,은율,빌리프,아크웰,True,True,True,은율 > 빌리프 > 아크웰 || 은율 > 빌리프 > 아크웰
anthropic,openai,main_00236,믹순,아이소이,조선미녀,False,믹순,조선미녀,아이소이,아이소이,조선미녀,믹순,False,False,True,믹순 > 조선미녀 > 아이소이 || 아이소이 > 조선미녀 > 믹순
anthropic,openai,main_00238,이즈앤트리,헉슬리,은율,False,은율,헉슬리,이즈앤트리,이즈앤트리,은율,헉슬리,False,False,True,은율 > 헉슬리 > 이즈앤트리 || 이즈앤트리 > 은율 > 헉슬리
anthropic,openai,main_00240,스킨푸드,일리윤,일소,False,일리윤,스킨푸드,일소,일리윤,스킨푸드,일소,True,True,True,일리윤 > 스킨푸드 > 일소 || 일리윤 > 스킨푸드 > 일소
anthropic,openai,main_00260,웰라쥬,메디힐,스킨1004,False,웰라쥬,스킨1004,메디힐,웰라쥬,스킨1004,메디힐,True,True,True,웰라쥬 > 스킨1004 > 메디힐 || 웰라쥬 > 스킨1004 > 메디힐
anthropic,openai,main_00261,스킨푸드,구달,숨37,False,구달,스킨푸드,숨37,구달,스킨푸드,숨37,True,True,True,구달 > 스킨푸드 > 숨37 || 구달 > 스킨푸드 > 숨37
anthropic,openai,main_00266,숨37,토니모리,시드물,False,토니모리,시드물,숨37,시드물,토니모리,숨37,False,False,True,토니모리 > 시드물 > 숨37 || 시드물 > 토니모리 > 숨37
anthropic,openai,main_00267,미샤,아누아,메디큐브,False,메디큐브,미샤,아누아,미샤,메디큐브,아누아,False,False,True,메디큐브 > 미샤 > 아누아 || 미샤 > 메디큐브 > 아누아
anthropic,openai,main_00278,그레이멜린,아누아,리얼베리어,False,리얼베리어,아누아,그레이멜린,리얼베리어,아누아,그레이멜린,True,True,True,리얼베리어 > 아누아 > 그레이멜린 || 리얼베리어 > 아누아 > 그레이멜린
anthropic,openai,main_00280,설화수,메디팜,아비브,False,아비브,메디팜,설화수,아비브,메디팜,설화수,True,True,True,아비브 > 메디팜 > 설화수 || 아비브 > 메디팜 > 설화수
anthropic,openai,main_00282,듀이트리,유이크,라곰,False,라곰,유이크,듀이트리,듀이트리,라곰,유이크,False,False,True,라곰 > 유이크 > 듀이트리 || 듀이트리 > 라곰 > 유이크
anthropic,openai,main_00285,휩드,원씽,언리시아,False,휩드,원씽,언리시아,휩드,원씽,언리시아,True,True,True,휩드 > 원씽 > 언리시아 || 휩드 > 원씽 > 언리시아
anthropic,openai,main_00286,스킨1004,유이크,퓨어케이,False,유이크,스킨1004,퓨어케이,스킨1004,유이크,퓨어케이,False,False,True,유이크 > 스킨1004 > 퓨어케이 || 스킨1004 > 유이크 > 퓨어케이
anthropic,openai,main_00287,리얼베리어,에뛰드,그레이멜린,False,리얼베리어,그레이멜린,에뛰드,리얼베리어,그레이멜린,에뛰드,True,True,True,리얼베리어 > 그레이멜린 > 에뛰드 || 리얼베리어 > 그레이멜린 > 에뛰드
anthropic,openai,main_00291,스킨1004,일리윤,볼드포뮬러,False,일리윤,스킨1004,볼드포뮬러,일리윤,스킨1004,볼드포뮬러,True,True,True,일리윤 > 스킨1004 > 볼드포뮬러 || 일리윤 > 스킨1004 > 볼드포뮬러
anthropic,openai,main_00297,라운드랩,와더스킨,스킨푸드,False,라운드랩,스킨푸드,와더스킨,라운드랩,스킨푸드,와더스킨,True,True,True,라운드랩 > 스킨푸드 > 와더스킨 || 라운드랩 > 스킨푸드 > 와더스킨
anthropic,openai,main_00301,은율,원씽,리얼베리어,False,리얼베리어,은율,원씽,리얼베리어,은율,원씽,True,True,True,리얼베리어 > 은율 > 원씽 || 리얼베리어 > 은율 > 원씽
anthropic,openai,main_00314,파파레서피,비플레인,오드로이,False,파파레서피,비플레인,오드로이,비플레인,파파레서피,오드로이,False,False,True,파파레서피 > 비플레인 > 오드로이 || 비플레인 > 파파레서피 > 오드로이
anthropic,openai,main_00316,리얼베리어,와더스킨,듀이트리,False,리얼베리어,듀이트리,와더스킨,리얼베리어,듀이트리,와더스킨,True,True,True,리얼베리어 > 듀이트리 > 와더스킨 || 리얼베리어 > 듀이트리 > 와더스킨
anthropic,openai,main_00322,토니모리,피캄,리얼베리어,False,리얼베리어,토니모리,피캄,리얼베리어,피캄,토니모리,True,False,True,리얼베리어 > 토니모리 > 피캄 || 리얼베리어 > 피캄 > 토니모리
anthropic,openai,main_00329,스킨푸드,리얼베리어,스킨푸드,True,스킨푸드,리얼베리어,스킨푸드,리얼베리어,스킨푸드,스킨푸드,False,False,True,스킨푸드 > 리얼베리어 > 스킨푸드 || 리얼베리어 > 스킨푸드 > 스킨푸드
anthropic,openai,main_00330,센텔리안24,더후,식물나라,False,센텔리안24,식물나라,더후,센텔리안24,더후,식물나라,True,False,True,센텔리안24 > 식물나라 > 더후 || 센텔리안24 > 더후 > 식물나라
anthropic,openai,main_00332,스킨1004,피지오겔,피캄,False,피지오겔,스킨1004,피캄,피지오겔,스킨1004,피캄,True,True,True,피지오겔 > 스킨1004 > 피캄 || 피지오겔 > 스킨1004 > 피캄
anthropic,openai,main_00334,토니모리,더후,블랑네이처,False,토니모리,블랑네이처,더후,토니모리,블랑네이처,더후,True,True,True,토니모리 > 블랑네이처 > 더후 || 토니모리 > 블랑네이처 > 더후
anthropic,openai,main_00336,리얼베리어,주미소,은율,False,리얼베리어,은율,주미소,리얼베리어,은율,주미소,True,True,True,리얼베리어 > 은율 > 주미소 || 리얼베리어 > 은율 > 주미소
anthropic,openai,main_00340,조선미녀,메디힐,제이엠솔루션,False,조선미녀,제이엠솔루션,메디힐,조선미녀,제이엠솔루션,메디힐,True,True,True,조선미녀 > 제이엠솔루션 > 메디힐 || 조선미녀 > 제이엠솔루션 > 메디힐
anthropic,openai,main_00343,블랑네이처,편강율,토리든,False,블랑네이처,토리든,편강율,토리든,편강율,블랑네이처,False,False,True,블랑네이처 > 토리든 > 편강율 || 토리든 > 편강율 > 블랑네이처
anthropic,openai,main_00344,스킨1004,은율,실크크리스탈,False,은율,스킨1004,실크크리스탈,은율,스킨1004,실크크리스탈,True,True,True,은율 > 스킨1004 > 실크크리스탈 || 은율 > 스킨1004 > 실크크리스탈
anthropic,openai,main_00345,스킨푸드,퓨어케이,스킨1004,False,퓨어케이,스킨푸드,스킨1004,스킨1004,스킨푸드,퓨어케이,False,False,True,퓨어케이 > 스킨푸드 > 스킨1004 || 스킨1004 > 스킨푸드 > 퓨어케이
anthropic,openai,main_00348,와더스킨,은율,에뛰드,False,와더스킨,에뛰드,은율,에뛰드,와더스킨,은율,False,False,True,와더스킨 > 에뛰드 > 은율 || 에뛰드 > 와더스킨 > 은율
anthropic,openai,main_00349,그레이멜린,일루미엘,메디큐브,False,그레이멜린,메디큐브,일루미엘,그레이멜린,메디큐브,일루미엘,True,True,True,그레이멜린 > 메디큐브 > 일루미엘 || 그레이멜린 > 메디큐브 > 일루미엘
anthropic,openai,main_00352,은율,믹순,메디큐브,False,메디큐브,믹순,은율,은율,메디큐브,믹순,False,False,True,메디큐브 > 믹순 > 은율 || 은율 > 메디큐브 > 믹순
anthropic,openai,main_00354,은율,유이크,닥터벨머,False,유이크,은율,닥터벨머,유이크,은율,닥터벨머,True,True,True,유이크 > 은율 > 닥터벨머 || 유이크 > 은율 > 닥터벨머
anthropic,openai,main_00355,이아소,페이스인페이스,에뛰드,False,페이스인페이스,이아소,,이아소,에뛰드,페이스인페이스,False,False,False,페이스인페이스 > 이아소 > nan || 이아소 > 에뛰드 > 페이스인페이스
anthropic,openai,main_00358,일리윤,일리윤,일루미엘,True,일루미엘,일리윤,일리윤,일리윤,일리윤,일루미엘,False,False,True,일루미엘 > 일리윤 > 일리윤 || 일리윤 > 일리윤 > 일루미엘
anthropic,openai,main_00361,비레디,피지오겔,메이크프렘,False,피지오겔,비레디,메이크프렘,피지오겔,비레디,메이크프렘,True,True,True,피지오겔 > 비레디 > 메이크프렘 || 피지오겔 > 비레디 > 메이크프렘
anthropic,openai,main_00364,웰라쥬,이니스프리,라운드랩,False,웰라쥬,라운드랩,이니스프리,웰라쥬,라운드랩,이니스프리,True,True,True,웰라쥬 > 라운드랩 > 이니스프리 || 웰라쥬 > 라운드랩 > 이니스프리
anthropic,openai,main_00370,리얼베리어,스킨바리스타,휩드,False,휩드,리얼베리어,스킨바리스타,리얼베리어,휩드,스킨바리스타,False,False,True,휩드 > 리얼베리어 > 스킨바리스타 || 리얼베리어 > 휩드 > 스킨바리스타
anthropic,openai,main_00371,리쥬란,피지오겔,이아소,False,피지오겔,리쥬란,이아소,피지오겔,리쥬란,이아소,True,True,True,피지오겔 > 리쥬란 > 이아소 || 피지오겔 > 리쥬란 > 이아소
anthropic,openai,main_00376,은율,테라비코스,메디힐,False,테라비코스,메디힐,은율,테라비코스,메디힐,은율,True,True,True,테라비코스 > 메디힐 > 은율 || 테라비코스 > 메디힐 > 은율
anthropic,openai,main_00377,일소,숨37,스킨1004,False,스킨1004,일소,숨37,스킨1004,숨37,일소,True,False,True,스킨1004 > 일소 > 숨37 || 스킨1004 > 숨37 > 일소
anthropic,openai,main_00380,오휘,토리든,스킨1004,False,스킨1004,오휘,,스킨1004,오휘,토리든,True,False,False,스킨1004 > 오휘 > nan || 스킨1004 > 오휘 > 토리든
anthropic,openai,main_00381,메이크프렘,테라비코스,언리시아,False,테라비코스,메이크프렘,언리시아,테라비코스,메이크프렘,언리시아,True,True,True,테라비코스 > 메이크프렘 > 언리시아 || 테라비코스 > 메이크프렘 > 언리시아
anthropic,openai,main_00389,리얼베리어,더후,엘리메르,False,리얼베리어,엘리메르,더후,엘리메르,리얼베리어,더후,False,False,True,리얼베리어 > 엘리메르 > 더후 || 엘리메르 > 리얼베리어 > 더후
anthropic,openai,main_00398,실크크리스탈,아로마티카,스킨바리스타,False,아로마티카,스킨바리스타,실크크리스탈,아로마티카,스킨바리스타,실크크리스탈,True,True,True,아로마티카 > 스킨바리스타 > 실크크리스탈 || 아로마티카 > 스킨바리스타 > 실크크리스탈
anthropic,openai,main_00400,원씽,멜릭서,일루미엘,False,일루미엘,원씽,멜릭서,일루미엘,원씽,멜릭서,True,True,True,일루미엘 > 원씽 > 멜릭서 || 일루미엘 > 원씽 > 멜릭서
anthropic,openai,main_00403,맥스클리닉,토리든,파티온,False,토리든,맥스클리닉,파티온,토리든,맥스클리닉,파티온,True,True,True,토리든 > 맥스클리닉 > 파티온 || 토리든 > 맥스클리닉 > 파티온
anthropic,openai,main_00404,센텔리안24,메디힐,에뛰드,False,센텔리안24,에뛰드,메디힐,센텔리안24,에뛰드,메디힐,True,True,True,센텔리안24 > 에뛰드 > 메디힐 || 센텔리안24 > 에뛰드 > 메디힐
anthropic,openai,main_00406,빌리프,벤튼,아누아,False,빌리프,벤튼,아누아,아누아,빌리프,벤튼,False,False,True,빌리프 > 벤튼 > 아누아 || 아누아 > 빌리프 > 벤튼
anthropic,openai,main_00408,토리든,유이크,제이준,False,유이크,토리든,제이준,토리든,제이준,유이크,False,False,True,유이크 > 토리든 > 제이준 || 토리든 > 제이준 > 유이크
anthropic,openai,main_00414,토리든,더후,그레이멜린,False,그레이멜린,토리든,더후,토리든,그레이멜린,더후,False,False,True,그레이멜린 > 토리든 > 더후 || 토리든 > 그레이멜린 > 더후
anthropic,openai,main_00416,닥터벨머,아비브,토니모리,False,토니모리,아비브,닥터벨머,아비브,토니모리,닥터벨머,False,False,True,토니모리 > 아비브 > 닥터벨머 || 아비브 > 토니모리 > 닥터벨머
anthropic,openai,main_00420,비플레인,이아소,닥터지,False,비플레인,닥터지,이아소,비플레인,닥터지,이아소,True,True,True,비플레인 > 닥터지 > 이아소 || 비플레인 > 닥터지 > 이아소
anthropic,openai,main_00422,아비브,메디힐,구달,False,아비브,구달,메디힐,아비브,구달,메디힐,True,True,True,아비브 > 구달 > 메디힐 || 아비브 > 구달 > 메디힐
anthropic,openai,main_00427,앰플엔,페이스인페이스,편강율,False,편강율,앰플엔,페이스인페이스,편강율,앰플엔,페이스인페이스,True,True,True,편강율 > 앰플엔 > 페이스인페이스 || 편강율 > 앰플엔 > 페이스인페이스
anthropic,openai,main_00434,시드물,비욘드,제이엠솔루션,False,제이엠솔루션,시드물,비욘드,시드물,제이엠솔루션,비욘드,False,False,True,제이엠솔루션 > 시드물 > 비욘드 || 시드물 > 제이엠솔루션 > 비욘드
anthropic,openai,main_00438,아누아,은율,성분에디터,False,은율,아누아,성분에디터,은율,성분에디터,아누아,True,False,True,은율 > 아누아 > 성분에디터 || 은율 > 성분에디터 > 아누아
anthropic,openai,main_00439,스킨푸드,리얼베리어,에뛰드,False,리얼베리어,스킨푸드,에뛰드,리얼베리어,에뛰드,스킨푸드,True,False,True,리얼베리어 > 스킨푸드 > 에뛰드 || 리얼베리어 > 에뛰드 > 스킨푸드
anthropic,openai,main_00442,더후,비욘드,아비브,False,아비브,비욘드,더후,비욘드,아비브,더후,False,False,True,아비브 > 비욘드 > 더후 || 비욘드 > 아비브 > 더후
anthropic,openai,main_00449,메이크프렘,넘버즈인,메디섹션넘버,False,넘버즈인,메디섹션넘버,메이크프렘,넘버즈인,메디섹션넘버,메이크프렘,True,True,True,넘버즈인 > 메디섹션넘버 > 메이크프렘 || 넘버즈인 > 메디섹션넘버 > 메이크프렘
anthropic,openai,main_00450,바닐라코,제이엠솔루션,메디섹션넘버,False,바닐라코,메디섹션넘버,제이엠솔루션,바닐라코,메디섹션넘버,제이엠솔루션,True,True,True,바닐라코 > 메디섹션넘버 > 제이엠솔루션 || 바닐라코 > 메디섹션넘버 > 제이엠솔루션
anthropic,openai,main_00451,유리피부,토리든,에이프릴스킨,False,에이프릴스킨,토리든,유리피부,에이프릴스킨,토리든,유리피부,True,True,True,에이프릴스킨 > 토리든 > 유리피부 || 에이프릴스킨 > 토리든 > 유리피부
anthropic,openai,main_00452,미샤,은율,이니스프리,False,이니스프리,미샤,은율,미샤,이니스프리,은율,False,False,True,이니스프리 > 미샤 > 은율 || 미샤 > 이니스프리 > 은율
anthropic,openai,main_00457,편강율,스킨푸드,와더스킨,False,와더스킨,편강율,스킨푸드,와더스킨,편강율,스킨푸드,True,True,True,와더스킨 > 편강율 > 스킨푸드 || 와더스킨 > 편강율 > 스킨푸드
